20081231,297104,NA,254488,NA,21060,38,NA,NA,171758,43990,NA,294720,NA,NA,NA,NA,862814,NA,NA,NA,NA,NA,NA,346444,NA,380732,NA,NA,38746,161348,NA,NA,NA,NA,NA,NA,NA,511384,NA,NA,NA,NA,NA,862886,309954,NA,57522,NA,282072,NA,121388
20090105,653074,NA,495224,NA,43542,80,NA,NA,199356,49548,NA,92820,NA,NA,NA,NA,5146,NA,NA,NA,NA,NA,NA,165762,NA,578608,NA,NA,59828,213996,NA,NA,NA,NA,NA,NA,NA,3994,NA,NA,NA,NA,NA,1117452,719168,NA,72002,NA,554070,NA,63034
20090106,871768,NA,638792,NA,35598,64,NA,NA,213514,50192,NA,172126,NA,NA,NA,NA,821022,NA,NA,NA,NA,NA,NA,247954,NA,778132,NA,NA,128542,120076,NA,NA,NA,NA,NA,NA,NA,199040,NA,NA,NA,NA,NA,1164458,229602,NA,83502,NA,701442,NA,250346
20090107,752496,NA,735488,NA,33054,120,NA,NA,250256,98972,NA,43254,NA,NA,NA,NA,1312392,NA,NA,NA,NA,NA,NA,158802,NA,751362,NA,NA,101832,140236,NA,NA,NA,NA,NA,NA,NA,37054,NA,NA,NA,NA,NA,1059758,156204,NA,93014,NA,680826,NA,282738
20090108,541740,NA,288846,NA,26624,160,NA,NA,271888,32052,NA,620556,NA,NA,NA,NA,275498,NA,NA,NA,NA,NA,NA,98030,NA,471122,NA,NA,52662,121320,NA,NA,NA,NA,NA,NA,NA,1161954,NA,NA,NA,NA,NA,680958,492182,NA,52462,NA,372858,NA,61114
20090109,615032,NA,422174,NA,17112,230,NA,NA,199494,28932,NA,392714,NA,NA,NA,NA,528492,NA,NA,NA,NA,NA,NA,183024,NA,537302,NA,NA,53230,171052,NA,NA,NA,NA,NA,NA,NA,869548,NA,NA,NA,NA,NA,897610,446608,NA,79094,NA,490550,NA,342558
20090112,651750,NA,352524,NA,19966,90,NA,NA,146112,22392,NA,62410,NA,NA,NA,NA,616452,NA,NA,NA,NA,NA,NA,222844,NA,783830,NA,NA,78092,132846,NA,NA,NA,NA,NA,NA,NA,881384,NA,NA,NA,NA,NA,1476070,356482,NA,117408,NA,439666,NA,212218
20090113,699108,NA,273914,NA,25170,68,NA,NA,190286,25618,NA,267682,NA,NA,NA,NA,396218,NA,NA,NA,NA,NA,NA,204422,NA,428248,NA,NA,47124,6096,NA,NA,NA,NA,NA,NA,NA,932804,NA,NA,NA,NA,NA,958818,201034,NA,101798,NA,95550,NA,154008
20090114,459676,NA,180830,NA,20908,238,NA,NA,94644,12440,NA,241440,NA,NA,NA,NA,260684,NA,NA,NA,NA,NA,NA,177776,NA,862872,NA,NA,66846,212854,NA,NA,NA,NA,NA,NA,NA,791304,NA,NA,NA,NA,NA,1040086,138964,NA,77566,NA,428214,NA,161238
20090115,370288,NA,76288,NA,26104,290,NA,NA,53552,20862,NA,386220,NA,NA,NA,NA,493864,NA,NA,NA,NA,NA,NA,436634,NA,398598,NA,NA,37900,109320,NA,NA,NA,NA,NA,NA,NA,785296,NA,NA,NA,NA,NA,609648,279966,NA,113672,NA,240358,NA,125264
20090116,299742,NA,121138,NA,22210,116,NA,NA,86232,12500,NA,470404,NA,NA,NA,NA,641116,NA,NA,NA,NA,NA,NA,320734,NA,401758,NA,NA,28268,102580,NA,NA,NA,NA,NA,NA,NA,771312,NA,NA,NA,NA,NA,392534,198722,NA,58596,NA,200502,NA,158632
20090119,287470,NA,118570,NA,19250,62,NA,NA,64730,8586,NA,438590,NA,NA,NA,NA,696514,NA,NA,NA,NA,NA,NA,278592,NA,355940,NA,NA,36102,72070,NA,NA,NA,NA,NA,NA,NA,524152,NA,NA,NA,NA,NA,249110,151540,NA,63200,NA,277138,NA,145476
20090120,401406,NA,217234,NA,13612,426,NA,NA,81468,5274,NA,392774,NA,NA,NA,NA,663126,NA,NA,NA,NA,NA,NA,155534,NA,591318,NA,NA,30698,75168,NA,NA,NA,NA,NA,NA,NA,660160,NA,NA,NA,NA,NA,197176,272860,NA,65506,NA,228404,NA,152028
20090121,261516,NA,279706,NA,13450,136,NA,NA,32284,6086,NA,266166,NA,NA,NA,NA,418538,NA,NA,NA,NA,NA,NA,243298,NA,401126,NA,NA,26028,88446,NA,NA,NA,NA,NA,NA,NA,581512,NA,NA,NA,NA,NA,107970,152278,NA,61218,NA,215196,NA,121730
20090122,260014,NA,334770,NA,8930,138,NA,NA,29140,7484,NA,344388,NA,NA,NA,NA,470830,NA,NA,NA,NA,NA,NA,219596,NA,373272,NA,NA,18878,61880,NA,NA,NA,NA,NA,NA,NA,565572,NA,NA,NA,NA,NA,83934,128316,NA,39138,NA,150476,NA,111262
20090123,187180,NA,160098,NA,7610,60,NA,NA,76190,6914,NA,232388,NA,NA,NA,NA,372364,NA,NA,NA,NA,NA,NA,198854,NA,258136,NA,NA,12716,32982,NA,NA,NA,NA,NA,NA,NA,624654,NA,NA,NA,NA,NA,124390,105292,NA,32494,NA,83586,NA,92536
20090202,179774,NA,105024,NA,19710,80,NA,NA,76796,11312,NA,203760,NA,NA,NA,NA,280394,NA,NA,NA,NA,NA,NA,198850,NA,330598,NA,NA,24470,43142,NA,NA,NA,NA,NA,NA,NA,411170,NA,NA,NA,NA,NA,385738,185508,NA,114738,NA,112996,NA,82240
20090203,381558,NA,152742,NA,16838,198,NA,NA,98928,15552,NA,272474,NA,NA,NA,NA,490520,NA,NA,NA,NA,NA,NA,204688,NA,584836,NA,NA,79596,111604,NA,NA,NA,NA,NA,NA,NA,676750,NA,NA,NA,NA,NA,624612,178016,NA,78218,NA,345944,NA,117812
20090204,342630,NA,164690,NA,12532,144,NA,NA,113510,23596,NA,416074,NA,NA,NA,NA,595656,NA,NA,NA,NA,NA,NA,244542,NA,583930,NA,NA,110810,86886,NA,NA,NA,NA,NA,NA,NA,304824,NA,NA,NA,NA,NA,900716,468554,NA,185162,NA,296560,NA,150242
20090205,397018,NA,121652,NA,17244,208,NA,NA,45500,11042,NA,383318,NA,NA,NA,NA,461324,NA,NA,NA,NA,NA,NA,214506,NA,478000,NA,NA,158940,136382,NA,NA,NA,NA,NA,NA,NA,625628,NA,NA,NA,NA,NA,444102,301100,NA,339282,NA,408278,NA,104366
20090206,480028,NA,84452,NA,17328,364,NA,NA,48030,32066,NA,406176,NA,NA,NA,NA,600420,NA,NA,NA,NA,NA,NA,176202,NA,576568,NA,NA,101364,138482,NA,NA,NA,NA,NA,NA,NA,711310,NA,NA,NA,NA,NA,991000,205386,NA,190596,NA,396104,NA,147356
